title,slug,description,duration,link,image,unit_duration
Introduction to Large Language Models,introduction-to-large-language-models,"In this module, you’ll explore the capabilities of large language models and their business applications. You’ll learn about the different types of IBM Granite models and the unique features that make them ideal for enterprise use. You’ll also discover how to craft effective prompts to guide these models and overcome common challenges in their use.",90,https://skills.yourlearning.ibm.com/activity/MDL-568?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/02/Introduction-to-Large-Language-Models.jpg,minutes
Build Your First Chatbot Using IBM watsonx™,build-your-first-chatbot-using-ibm-watsonx,"In this course, you will learn the steps to create conversational chatbots that can understand and respond to natural language. You will also understand the fundamentals of Natural Language Processing (NLP) and learn how to apply them to real-world scenarios. Through a hands-on simulation using IBM watsonx, you’ll gain the skills needed to create a simple chatbot.",60,https://skills.yourlearning.ibm.com/activity/MDL-510?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/01/Build-Your-First-Chatbot.jpg,minutes
Ethical Considerations for Using Generative AI,ethical-considerations-for-using-generative-ai,"In this module, you’ll explore the fascinating and complex world of ethics as they relate to generative AI. You’ll learn about the pillars of transparency, accountability, and fairness. You’ll discover ethical considerations and risks related to data inputs to AI systems and uncover the ethical implications of AI-generated output. Finally, you’ll be introduced to the IBM AI risk atlas.",60,https://skills.yourlearning.ibm.com/activity/MDL-571?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/04/Ethical-Considerations-for-Generative-AI-600.png,minutes
Unleashing the Power of AI Agents,unleashing-the-power-of-ai-agents,"In this module, you’ll explore AI agents, how they perform tasks, and the different types of AI agents that exist. You’ll learn how to identify key use cases where AI agents improve efficiency and categorize them based on how they make decisions. Finally, you'll learn how AI agents work and where they are making an impact today.",60,https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3825456?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/04/Unleashing-the-Power-of-AI-Agents-600.png,minutes
The Rise of Multiagent Systems,the-rise-of-multiagent-systems,"In this module, you learn about multiagent systems and how they differ from single-agent systems. You explore how agents interact and work together and discover the ways these systems solve complex problems across different industries. Through practical examples, you uncover the power of agents collaborating to create innovative solutions.",60,https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3826474?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/04/The-Rise-of-Multiagent-Systems-600p.png,minutes
Vector Embeddings: AI’s Key to Meaning,vector-embeddings-ais-key-to-meaning,"In this module, you learn about how when searching online, the words used in a query often don’t exactly match the words in the content being sought. That’s where vector embeddings come in. They help AI to capture meaning by recognizing patterns and relationships across different types of data, rather than focusing only on exact words.",60,https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3826580?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/04/Vector-Embeddings-600.png,minutes
Classifying Data Using IBM Granite,classifying-data-using-ibm-granite,"In this module, you’ll explore the role of generative artificial intelligence in simplifying tasks involving classifying data. You’ll identify methods for selecting an IBM Granite model for classifying text-based data and examine various prompts to use within these models. ",60,https://skills.yourlearning.ibm.com/activity/MDL-563?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/01/Classifying-Data-Using-IBM-Granite.jpg,minutes
Introduction to Retrieval-Augmented Generation,introduction-to-retrieval-augmented-generation,"In this module, you’ll learn what RAG is and identify its key use cases. Next, you’ll explore the benefits of using RAG to enhance the knowledge base of an AI model. Finally, you’ll find out the key steps in the RAG workflow.",60,https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3825461?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/04/Introduction-to-Retrieval-Augmented-Generation-600.png,minutes
Explore Text to Speech Using IBM watson®,explore-text-to-speech-using-ibm-watson,"This module introduces the fundamentals of text-to-speech (TTS) technology and the role of generative AI in developing these systems. Through a hands-on simulation using IBM watsonx, you’ll gain the skills needed to create and refine your own AI-powered voice synthesis model.",60,https://skills.yourlearning.ibm.com/activity/MDL-507?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/01/Explore-Text-to-Speech-Using-IBM-watsonx.jpg,minutes
IBM Granite Models for Software Development,ibm-granite-models-for-software-development,"In this module, you’ll discover how generative artificial intelligence is rewriting the rules of code creation. You’ll learn about IBM Granite models and discover their different types and the benefits they bring to your coding journey. You’ll also learn how to use IBM Granite models to troubleshoot code, allowing you to identify and fix issues faster. You’ll discover the value of Granite models for software developers and be able to explain how to use them.",60,https://skills.yourlearning.ibm.com/activity/MDL-567?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/01/IBM-Granite-Models-for-Software-Development.jpg,minutes
Summarizing Data Using IBM Granite,summarizing-data-using-ibm-granite,"In this module, you'll explore the role of generative AI in text-based data summarization. Next, you’ll learn about various IBM Granite models for text summarization and how you can choose the right model for your needs. Finally, you’ll explore how to prompt IBM Granite models to summarize text.",60,https://skills.yourlearning.ibm.com/activity/MDL-564?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/01/Summarizing-Data-Using-IBM-Granite.jpg,minutes
Use Generative AI for Software Development Using IBM watsonx™,use-generative-ai-for-software-development-using-ibm-watsonx,"In this course, you’ll learn how AI can help you write new code, switch code between programming languages, and fix common coding issues. You’ll get a chance to practice using IBM watsonx in a simulation to generate code with the help of simple prompts.",60,https://skills.yourlearning.ibm.com/activity/MDL-504?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/01/Use-Generative-AI-for-Software-Development.jpg,minutes
Getting Started with Artificial Intelligence,getting-started-with-artificial-intelligence,"This credential earner demonstrates a foundational understanding of Artificial Intelligence concepts and processes, including common applications of AI, and generative AI. The individual has worked with generative AI tools to refine and create prompts.",3,https://skills.yourlearning.ibm.com/activity/PLAN-E624C2604060?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2024/04/Getting_Started_With_Artificial_Intelligence_Badge.png,hours
Artificial Intelligence Fundamentals,artificial-intelligence-fundamentals,"This credential earner demonstrates knowledge of artificial intelligence (AI) concepts, such as natural language processing, computer vision, machine learning, deep learning, chatbots, and neural networks; AI ethics; and the applications of AI. The individual has a conceptual understanding of how to run an AI model using IBM Watson Studio. The earner is aware of the job outlook in fields that use AI and is familiar with the skills required for success in various roles in the domain.",10,https://skills.yourlearning.ibm.com/activity/PLAN-7913EE1DB030?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2023/07/Artificial-Intelligence-Fundamentals.png,hours
Building AI Solutions Using Advanced Algorithms and Open Source Frameworks,building-ai-solutions-using-advanced-algorithms-and-open-source-frameworks,"This badge earner demonstrates knowledge and understanding in technical and scientific concepts related to building AI solutions with open-source frameworks (such as TensorFlow and Keras) to make model predictions using regression, classification, and clustering algorithms such as Naive Bayes, Logistic regression, K-nearest neighbors, Polynomial Linear Regression, SVM (Kernel), Decision tree, and Ensemble learning, K means and DBSCAN for anomaly detection and computer vision.
* The design of the credential emblem has been refreshed as part of an update to the SkillsBuild Credential Framework. <a href=""https://skillsbuild.org/frequently-asked-questions"">Learn more here</a>",20,https://skills.yourlearning.ibm.com/activity/PLAN-3C28E1067B08?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2023/02/Building-AI-Solutions-Using-Advanced-Algorithms-and-Open-Source-Frameworks.png,hours
Building Trustworthy AI Enterprise Solutions,building-trustworthy-ai-enterprise-solutions,"This badge earner has completed all the learning activities included in this online learning experience, including hands-on experience, concepts, methods, and tools related to exploring the ethical adoption of AI technologies in the enterprise. The individual has demonstrated skills and understanding of the use of AI technologies for business, including: AI industry adoption trends, AI ethical considerations, Natural Language Processing, and Virtual Agents.
* The design of the credential emblem has been refreshed as part of an update to the SkillsBuild Credential Framework. <a href=""https://skillsbuild.org/frequently-asked-questions"">Learn more here</a>",10,https://skills.yourlearning.ibm.com/activity/PLAN-A2AAD89B7676?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2023/02/Building-Trustworthy-AI-Enterprise-Solutions.png,hours
Code Generation and Optimization Using IBM Granite,code-generation-and-optimization-using-ibm-granite,"In this module, you’ll explore how to use IBM Granite models to address a variety of programming challenges. You’ll learn how to generate efficient, reliable, and adaptable code tailored to your project’s needs and optimize the code to improve its performance.",210,https://skills.yourlearning.ibm.com/activity/MDL-566?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/02/BadgeEmblem_CodeGenerationAndOptimizationUsingIBMGranite.jpg,minutes
Data Classification and  Summarization Using IBM Granite,data-classification-and-summarization-using-ibm-granite,"In this module, you’ll explore how to construct, judge, and improve prompts for classifying and summarizing data. You’ll practice prompting an IBM Granite model to classify and summarize data, and discover how to adjust model parameters for enhanced output quality, model outputs, and use evaluation insights to adjust prompts and parameters. Finally, you’ll practice adjusting the model parameters to refine the output.",180,https://skills.yourlearning.ibm.com/activity/MDL-565?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/02/BadgeEmblem_DataClassificationAndSummarizationUsingIBMGranite.jpg,minutes
Generative AI in Action,generative-ai-in-action,"This credential earner has applied technical knowledge of principles of generative AI, prompt engineering techniques, and Python libraries. The individual has demonstrated general knowledge of the methods, applications, and ethical considerations of using GenAI models. The earner has practiced essential workplace skills and explored generative AI career pathways.",5,https://skills.yourlearning.ibm.com/activity/PLAN-9E14CB5C4540?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2024/02/Generative-AI-in-action.png,hours
Create a chatbot with IBM watsonx Assistant,create-a-chatbot-with-ibm-watsonx-assistant,"In this lab, you will learn how to build a chatbot and add various actions and steps to create an interactive and intelligent assistant for your website.",30,https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3946041?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/06/Create_a_chatbot_with_IBM_watsonx_Assistant.jpg,minutes
Energy Demand Forecasting with IBM Granite Time Series,energy-demand-forecasting-with-ibm-granite-time-series-2,Forecasting in time series analysis allows data scientists to identify patterns by using machine learning and then generate forecasts about the future. TinyTimeMixers (TTMs) are compact pre-trained models for Multivariate Time-Series Forecasting.  The goal of this lab is to show how you can predict future trends on historical data using the IBM Granite Time Series models.,30,https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3824927?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/04/AI-Lab_img_Energy-Demand-Forecasting.jpg,minutes
Entity Extraction from Description Related to a Book Using IBM Granite,entity-extraction-from-description-related-to-a-book-using-ibm-granite,"Large Language Models (LLMs) have demonstrated remarkable accuracy in the task of entity extraction. In this lab, you will learn how to extract key entities from descriptions related to books using IBM Granite-8B.",30,https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3825227?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/04/AI-Lab_img_Entity-Extraction-from-description.jpg,minutes
Document Summarization with IBM Granite,document-summarization-with-ibm-granite,"This lab showcases the essential capabilities of IBM Granite models through bite-sized instructional notebooks. In this lab, you will apply summarization techniques using IBM Granite.",30,https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3824999?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/04/AI-Lab_img_Document-Summarization-with-IBM-Granite.jpg,minutes
Prompt a Foundation Model in IBM watsonx,prompt-a-foundation-model-in-ibm-watsonx,"In this lab, you’ll be introduced to the generative AI features in IBM watsonx.ai, the Prompt Lab, foundation models, prompt engineering, and workspaces, and then get hands-on experience with prompting a foundation model.",30,https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3946042?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/06/Prompt_a_Foundation_Model_in_IBM_watsonx.jpg,minutes
Retrieval Augmented Generation with LangChain,retrieval-augmented-generation-with-langchain,"This notebook contains instructions for performing Retrieval Augumented Generation (RAG). RAG is an architectural pattern that can be used to augment the performance of language models by recalling factual information from a knowledge base, and adding that information to the model query.",30,https://skills.yourlearning.ibm.com/activity/ALM-COURSE_3824998?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2025/04/AI-Lab_img_Retrieval-Augmented-Generation.jpg,minutes
Getting Started with Cybersecurity,getting-started-with-cybersecurity,"This credential earner demonstrates a foundational understanding of cybersecurity key elements and the threats it addresses, including concepts of data privacy, and how to evaluate data security using the CIA triad model. The earner is aware of the job outlook in cybersecurity and is familiar with the skills required for success in various roles. The individual understands how a cybersecurity tool works.",3,https://skills.yourlearning.ibm.com/activity/PLAN-C7EE7CC95370?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2024/04/Getting_Started_With_Cybersecurity_Badge.png,hours
Cybersecurity Fundamentals,cybersecurity-fundamentals,"This badge earner demonstrates a foundational understanding of cybersecurity concepts, objectives, and practices. This includes cyber threat groups, types of attacks, social engineering, case studies, overall cyber security risk management strategies, cryptography, and common approaches that organizations take to prevent, detect, and respond to cyber attacks. This also includes an awareness of the job market. Badge earners can use this knowledge to pursue further education for a variety of roles in cybersecurity.",7,https://skills.yourlearning.ibm.com/activity/PLAN-4FB8400F05FC?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2021/07/Cybersecurity-Fundamentals.png,hours
Enterprise Security in Practice,enterprise-security-in-practice,"This badge earner has completed all the learning activities included in this online learning experience, including hands-on experience, concepts, methods and tools related to the enterprise security domain. The individual has demonstrated skills and understanding in the approaches to elevate an organization’s overall security posture, by adopting practices, methods and tools that increase enterprise cyber resilience.
* The design of the credential emblem has been refreshed as part of an update to the SkillsBuild Credential Framework. <a href=""https://skillsbuild.org/frequently-asked-questions"">Learn more here</a>",10,https://skills.yourlearning.ibm.com/activity/PLAN-BBCABF0CF5B0?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2023/02/Enterprise-Security-in-Practice.png,hours
Getting Started with Threat Intelligence and Hunting,getting-started-with-threat-intelligence-and-hunting,"This badge earner has completed all the learning activities included in this online learning experience, including hands-on experience, concepts, methods and tools related to the threat intelligence and hunting domain. The individual has demonstrated domain knowledge and understanding in adopting practices, methods and tools that relates to the activities performed in cyber threat hunting.
* The design of the credential emblem has been refreshed as part of an update to the SkillsBuild Credential Framework. <a href=""https://skillsbuild.org/frequently-asked-questions"">Learn more here</a>",5,https://skills.yourlearning.ibm.com/activity/PLAN-D5ED0773935F?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2023/02/Getting-Started-with-Threat-Intelligence-and-Hunting.png,hours
Security Operations Center in Practice,security-operations-center-in-practice,"This badge earner has completed all the learning activities included in this online learning experience, including hands-on experience, concepts, methods and tools related to the Security Operations Center’s domain. The individual has developed skills around techniques, technologies, roles and scenarios needed to establish the foundations of a Security Operations Center (SOC) within an organization.
* The design of the credential emblem has been refreshed as part of an update to the SkillsBuild Credential Framework. <a href=""https://skillsbuild.org/frequently-asked-questions"">Learn more here</a>",20,https://skills.yourlearning.ibm.com/activity/PLAN-3D0602EDCDEB?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2023/02/Security-Operations-Center-in-Practice.png,hours
Getting Started with Data,getting-started-with-data,"This credential earner demonstrates a foundational understanding of data concepts, such as types of data, big data, the data analytics process, data visualization, and the data science landscape. The individual has worked with data analytics tool to import, analyze and visualize data.",3,https://skills.yourlearning.ibm.com/activity/PLAN-14F2691E3A32?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2024/04/Getting_Started_With_Data_Badge.png,hours
Data Fundamentals,data-fundamentals,"This credential earner demonstrates knowledge of data analytics concepts, methodologies and applications of data science, and the tools and programming languages used in the data ecosystem. The individual has a conceptual understanding of how to clean, refine, and visualize data using IBM Watson Studio. The earner is aware of the job outlook in data and is familiar with the skills required for success in various roles in the domain.",7,https://skills.yourlearning.ibm.com/activity/PLAN-BC0FAEE8E439?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2023/08/Data-Fundamentals.png,hours
Enterprise Data Science in Practice,enterprise-data-science-in-practice,"This badge earner has completed all the learning activities included in this online learning experience including hands-on labs, concepts, methods, and tools related to the data science methodology. They demonstrate skills and understanding of the Data Science methodology by engaging in real-wold scenarios and role-playing the process/tools used by a data science team to address real-world enterprise challenges in the insurance industry leveraging cutting-edge fraud analytics approaches and technologies.
* The design of the credential emblem has been refreshed as part of an update to the SkillsBuild Credential Framework. <a href=""https://skillsbuild.org/frequently-asked-questions"">Learn more here</a>",10,https://skills.yourlearning.ibm.com/activity/PLAN-0D62D9A52C35?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2023/02/Enterprise-Data-Science-in-Practice.png,hours
Machine Learning for Data Science Projects,machine-learning-for-data-science-projects,"This earner completed all learning activities included in this online learning experience related to advanced topics core to the data science profession including: Data Modeling techniques; Machine Learning; Deep Learning algorithms; Data Science Automation; demonstration of advanced skills application in the field of Data Science by role-playing critical roles in a data science team using latest AI tools for analytics/automation to address real problems.
* The design of the credential emblem has been refreshed as part of an update to the SkillsBuild Credential Framework. <a href=""https://skillsbuild.org/frequently-asked-questions"">Learn more here</a>",20,https://skills.yourlearning.ibm.com/activity/PLAN-D8E7C82C1D76?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2023/02/Machine-Learning-for-Data-Science-Projects.png,hours
Cloud Computing Fundamentals,cloud-computing-fundamentals,"This credential earner demonstrates knowledge of cloud computing, including cloud services, deployment models, virtualization, orchestration, and cloud security. The individual is aware of cloud benefits for users and businesses. The individual has a conceptual understanding of how to create a container, deploy a web app to the cloud, and analyze security in a simulated environment. The earner is aware of the job outlook in cloud computing and the skills required for success in various roles.",10,https://skills.yourlearning.ibm.com/activity/PLAN-2EC3A305F2C3?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2023/06/Cloud-Computing-Fundamentals.png,hours
Journey to Cloud: Envisioning Your Solution,journey-to-cloud-envisioning-your-solution,"This credential earner demonstrates knowledge and understanding of the digital transformation drivers made possible by cloud technologies and services. This includes: how cloud works, its capabilities, types, and delivery models (IaaS, SaaS, and PaaS); digital transformation strategies such as Agile practices, the IBM Garage Method, and Enterprise Design Thinking to help organizations get started on their transformation journey; and deploying a test pilot cloud application using IBM Code Engine.
* The design of the credential emblem has been refreshed as part of an update to the SkillsBuild Credential Framework. <a href=""https://skillsbuild.org/frequently-asked-questions"">Learn more here</a>",5,https://skills.yourlearning.ibm.com/activity/PLAN-32CB1E21D8B4?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2023/02/Journey-to-Cloud-Envisioning-Your-Solution.png,hours
Journey to Cloud: Orchestrating Your Solution,journey-to-cloud-orchestrating-your-solution,"This credential earner demonstrates knowledge and understanding in the intricate relationship between the enterprises embracing the journey to Cloud adoption and the cloud service providers. The credential earner acquired advanced skills on cloud computing adoption concepts such as compliance, data management, data protection, cloud security, service management and operations, ITIL, incident, problem and change management, site reliability engineering, AIOps, and governance.
* The design of the credential emblem has been refreshed as part of an update to the SkillsBuild Credential Framework. <a href=""https://skillsbuild.org/frequently-asked-questions"">Learn more here</a>",20,https://skills.yourlearning.ibm.com/activity/PLAN-A44B849031F1?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2023/02/Journey-to-Cloud-Orchestrating-your-Solution.png,hours
Journey to Cloud: Transforming Your Culture,journey-to-cloud-transforming-your-culture,"This credential earner demonstrates knowledge and understanding in cloud adoption concepts such as cloud culture, modern cloud practices, and the corresponding roles, with a focus on cloud development practices such as DevOps &#038; Agile. The credential earner explores technical concepts such as cloud-native architecture, microservices, containerization, and APIs and understands what organizational changes may be required when an organization decides to migrate its workloads to the cloud.
* The design of the credential emblem has been refreshed as part of an update to the SkillsBuild Credential Framework. <a href=""https://skillsbuild.org/frequently-asked-questions"">Learn more here</a>",10,https://skills.yourlearning.ibm.com/activity/PLAN-D4FDBE583513?ngo-id=0302,https://skillsbuild.wpengine.com/wp-content/uploads/2023/02/Journey-to-Cloud-Transforming-Your-Culture.png,hours
